회계연도,지역명,전년당초,당해당초,증가율
2013,강원,3923348357000,4219834004000,7.557
2013,경기,16459873256000,16630920117000,1.0392
2013,경남,6463199819000,6555036293000,1.4209
2013,경북,6587817888000,7068818092000,7.3014
2013,광주,3390869678000,3495638850000,3.0897
2013,대구,5658658372000,6061163228000,7.1131
2013,대전,3472537513000,3706749120000,6.7447
2013,부산,8767692765000,8845982007000,0.8929
2013,서울,24343667131000,24636431859000,1.2026
2013,울산,2673772410000,2759707672000,3.214
2013,인천,7998358333000,7262039680000,-9.2059
2013,전남,5664760056000,6100125250000,7.6855
2013,전북,4590444009000,4947312104000,7.7742
2013,제주,3390632441000,3697610428000,9.0537
2013,충남,4915500000000,4873539000000,-0.8536
2013,충북,3308567275000,3457781694000,4.5099
2014,강원,4219834004000,4534614247000,7.4595
2014,경기,16630920117000,16958522169000,1.9698
2014,경남,6555036293000,6877120300000,4.9135
2014,경북,7068818092000,7511928970000,6.2685
2014,광주,3495638850000,3682510436000,5.3458
2014,대구,6061163228000,6173154962000,1.8477
2014,대전,3706749120000,3743905317000,1.0024
2014,부산,8845982007000,8951204026000,1.1895
2014,서울,24636431859000,25517088597000,3.5746
2014,세종,617834632000,790016057000,27.8685
2014,울산,2759707672000,2939311217000,6.5081
2014,인천,7262039680000,8173812626000,12.5553
2014,전남,6100125250000,6130308107000,0.4948
2014,전북,4947312104000,5134323385000,3.7801
2014,제주,3697610428000,3954027432000,6.9347
2014,충남,4873539000000,5081737000000,4.272
2014,충북,3457781694000,3691105367000,6.7478
2015,강원,4534614247000,5146235899000,13.4878
2015,경기,16958522169000,19271679079000,13.6401
2015,경남,6877120300000,7287256659000,5.9638
2015,경북,7511928970000,7860065765000,4.6345
2015,광주,3682510436000,3933062429000,6.8038
2015,대구,6173154962000,6400498917000,3.6828
2015,대전,3743905317000,4108244837000,9.7315
2015,부산,8951204026000,10020444490000,11.9452
2015,서울,25517088597000,26657217692000,4.4681
2015,세종,790016057000,967609435000,22.4797
2015,울산,2939311217000,3090833905000,5.155
2015,인천,8173812626000,8051910458000,-1.4914
2015,전남,6130308107000,6671297574000,8.8248
2015,전북,5134323385000,5463648994000,6.4142
2015,제주,3954027432000,4283145082000,8.3236
2015,충남,5081737000000,5228921000000,2.8963
