회계연도,지역명,자치단체명,본청여부,당초예산,최종예산,증감액,증감률
2012,강원,강원강릉시,N,628698548000,715600000000,86901452000,13.8224
2012,강원,강원고성군,N,241141322000,280200000000,39058678000,16.1974
2012,강원,강원동해시,N,285037104000,295300000000,10262896000,3.6005
2012,강원,강원본청,Y,3923348357000,4296500000000,373151643000,9.5111
2012,강원,강원삼척시,N,390784816000,428300000000,37515184000,9.6
2012,강원,강원속초시,N,279116278000,329700000000,50583722000,18.1228
2012,강원,강원양구군,N,230845934000,269900000000,39054066000,16.9178
2012,강원,강원양양군,N,206160126000,228500000000,22339874000,10.8362
2012,강원,강원영월군,N,265991662000,332900000000,66908338000,25.1543
2012,강원,강원원주시,N,771620825000,887800000000,116179175000,15.0565
2012,강원,강원인제군,N,268847496000,305000000000,36152504000,13.4472
2012,강원,강원정선군,N,317076926000,358800000000,41723074000,13.1587
2012,강원,강원철원군,N,251921197000,282100000000,30178803000,11.9795
2012,강원,강원춘천시,N,1070500310000,1180800000000,110299690000,10.3036
2012,강원,강원태백시,N,252305699000,293700000000,41394301000,16.4064
2012,강원,강원평창군,N,250866901000,324700000000,73833099000,29.4312
2012,강원,강원홍천군,N,344063847000,450200000000,106136153000,30.8478
2012,강원,강원화천군,N,231102270000,269000000000,37897730000,16.3987
2012,강원,강원횡성군,N,267769100000,341900000000,74130900000,27.6846
2012,경기,경기가평군,N,325839437000,390700000000,64860563000,19.9057
2012,경기,경기고양시,N,1305886117000,1635100000000,329213883000,25.21
2012,경기,경기과천시,N,335342224000,410100000000,74757776000,22.293
2012,경기,경기광명시,N,510235391000,623100000000,112864609000,22.1201
2012,경기,경기광주시,N,641880742000,724500000000,82619258000,12.8714
2012,경기,경기구리시,N,357965168000,427600000000,69634832000,19.453
2012,경기,경기군포시,N,393682721000,485800000000,92117279000,23.3989
2012,경기,경기김포시,N,632807794000,726200000000,93392206000,14.7584
2012,경기,경기남양주시,N,887388333000,1033700000000,146311667000,16.4879
2012,경기,경기동두천시,N,287971512000,343100000000,55128488000,19.1437
2012,경기,경기본청,Y,16459873256000,17997200000000,1537326744000,9.3398
2012,경기,경기부천시,N,1282060007000,1399300000000,117239993000,9.1447
2012,경기,경기성남시,N,2126893843000,2266300000000,139406157000,6.5544
2012,경기,경기수원시,N,1777887699000,1934700000000,156812301000,8.8201
2012,경기,경기시흥시,N,1275936240000,1375700000000,99763760000,7.8189
2012,경기,경기안산시,N,1541696042000,1257000000000,-284696042000,-18.4664
2012,경기,경기안성시,N,499233864000,589200000000,89966136000,18.0208
2012,경기,경기안양시,N,850118616000,968500000000,118381384000,13.9253
2012,경기,경기양주시,N,481050858000,578300000000,97249142000,20.216
2012,경기,경기양평군,N,371378163000,432500000000,61121837000,16.4581
2012,경기,경기여주군,N,465092095000,543800000000,78707905000,16.9231
2012,경기,경기연천군,N,323481286000,375100000000,51618714000,15.9572
2012,경기,경기오산시,N,345911285000,389500000000,43588715000,12.6011
2012,경기,경기용인시,N,1743685208000,2799400000000,1055714792000,60.545
2012,경기,경기의왕시,N,249885721000,316300000000,66414279000,26.5779
2012,경기,경기의정부시,N,688146787000,843800000000,155653213000,22.6192
2012,경기,경기이천시,N,545623907000,682200000000,136576093000,25.0312
2012,경기,경기파주시,N,792078613000,940500000000,148421387000,18.7382
2012,경기,경기평택시,N,992362966000,1179000000000,186637034000,18.8073
2012,경기,경기포천시,N,507672212000,580500000000,72827788000,14.3454
2012,경기,경기하남시,N,464825995000,566500000000,101674005000,21.8736
2012,경기,경기화성시,N,997173343000,1253500000000,256326657000,25.7053
2012,경남,경남거제시,N,538009650000,598600000000,60590350000,11.2619
2012,경남,경남거창군,N,405877917000,522800000000,116922083000,28.8072
2012,경남,경남고성군,N,325032333000,375800000000,50767667000,15.6193
2012,경남,경남김해시,N,1009225776000,1049400000000,40174224000,3.9807
2012,경남,경남남해군,N,299019161000,358500000000,59480839000,19.892
2012,경남,경남밀양시,N,483795021000,556200000000,72404979000,14.966
2012,경남,경남본청,Y,6463199819000,7134600000000,671400181000,10.388
2012,경남,경남사천시,N,448300894000,470700000000,22399106000,4.9964
2012,경남,경남산청군,N,326118063000,372500000000,46381937000,14.2224
2012,경남,경남양산시,N,696911722000,733100000000,36188278000,5.1927
2012,경남,경남의령군,N,322922388000,348200000000,25277612000,7.8278
2012,경남,경남진주시,N,912978493000,989000000000,76021507000,8.3268
2012,경남,경남창녕군,N,365195700000,412800000000,47604300000,13.0353
2012,경남,경남창원시,N,2716226552000,2724600000000,8373448000,0.3083
2012,경남,경남통영시,N,428766814000,500200000000,71433186000,16.6601
2012,경남,경남하동군,N,335642298000,376400000000,40757702000,12.1432
2012,경남,경남함안군,N,335305915000,335900000000,594085000,0.1772
2012,경남,경남함양군,N,325302677000,381300000000,55997323000,17.2139
2012,경남,경남합천군,N,344759946000,476000000000,131240054000,38.0671
2012,경북,경북경산시,N,539494233000,606100000000,66605767000,12.346
2012,경북,경북경주시,N,1018683538000,1168100000000,149416462000,14.6676
2012,경북,경북고령군,N,229988505000,307200000000,77211495000,33.5719
2012,경북,경북구미시,N,1026107691000,1111600000000,85492309000,8.3317
2012,경북,경북군위군,N,210179196000,231300000000,21120804000,10.049
2012,경북,경북김천시,N,563569891000,745800000000,182230109000,32.335
2012,경북,경북문경시,N,436857496000,459900000000,23042504000,5.2746
2012,경북,경북본청,Y,6587817888000,7299900000000,712082112000,10.8091
2012,경북,경북봉화군,N,278913268000,330400000000,51486732000,18.4598
2012,경북,경북상주시,N,601124267000,648800000000,47675733000,7.9311
2012,경북,경북성주군,N,255302734000,382800000000,127497266000,49.9396
2012,경북,경북안동시,N,721950000000,801200000000,79250000000,10.9772
2012,경북,경북영덕군,N,301024917000,330300000000,29275083000,9.7251
2012,경북,경북영양군,N,204642837000,245400000000,40757163000,19.9162
2012,경북,경북영주시,N,451153484000,502200000000,51046516000,11.3147
2012,경북,경북영천시,N,546315276000,608400000000,62084724000,11.3643
2012,경북,경북예천군,N,283103001000,319800000000,36696999000,12.9624
2012,경북,경북울릉군,N,134587859000,152300000000,17712141000,13.1603
2012,경북,경북울진군,N,431598377000,469500000000,37901623000,8.7817
2012,경북,경북의성군,N,401843746000,486800000000,84956254000,21.1416
2012,경북,경북청도군,N,285937438000,339500000000,53562562000,18.7323
2012,경북,경북청송군,N,223684935000,253900000000,30215065000,13.5079
2012,경북,경북칠곡군,N,394657337000,482600000000,87942663000,22.2833
2012,경북,경북포항시,N,1244972416000,1311300000000,66327584000,5.3276
2012,광주,광주광산구,N,325069775000,400200000000,75130225000,23.112
2012,광주,광주남구,N,197333054000,272900000000,75566946000,38.2941
2012,광주,광주동구,N,182910909000,204800000000,21889091000,11.9671
2012,광주,광주본청,Y,3390869678000,3648100000000,257230322000,7.586
2012,광주,광주북구,N,366811786000,428900000000,62088214000,16.9265
2012,광주,광주서구,N,244749890000,295800000000,51050110000,20.8581
2012,대구,대구남구,N,173814014000,186600000000,12785986000,7.3561
2012,대구,대구달서구,N,371838515000,413700000000,41861485000,11.258
2012,대구,대구달성군,N,361571140000,423900000000,62328860000,17.2383
2012,대구,대구동구,N,322433287000,368100000000,45666713000,14.1632
2012,대구,대구본청,Y,5658658372000,6026700000000,368041628000,6.504
2012,대구,대구북구,N,333049424000,358300000000,25250576000,7.5816
2012,대구,대구서구,N,184934126000,198500000000,13565874000,7.3355
2012,대구,대구수성구,N,313617030000,361200000000,47582970000,15.1723
2012,대구,대구중구,N,139673435000,153700000000,14026565000,10.0424
2012,대전,대전대덕구,N,223186910000,261300000000,38113090000,17.0768
2012,대전,대전동구,N,280187091000,347600000000,67412909000,24.06
2012,대전,대전본청,Y,3472537513000,3719000000000,246462487000,7.0975
2012,대전,대전서구,N,348028759000,429600000000,81571241000,23.4381
2012,대전,대전유성구,N,242800256000,348800000000,105999744000,43.6572
2012,대전,대전중구,N,248918162000,289800000000,40881838000,16.4238
2012,부산,부산강서구,N,152537588000,186900000000,34362412000,22.5272
2012,부산,부산금정구,N,220816967000,271300000000,50483033000,22.8619
2012,부산,부산기장군,N,356814310000,405200000000,48385690000,13.5605
2012,부산,부산남구,N,188755126000,243500000000,54744874000,29.0031
2012,부산,부산동구,N,148252615000,174100000000,25847385000,17.4347
2012,부산,부산동래구,N,218900538000,254800000000,35899462000,16.3999
2012,부산,부산본청,Y,8767692765000,9437800000000,670107235000,7.6429
2012,부산,부산부산진구,N,274778045000,334400000000,59621955000,21.6982
2012,부산,부산북구,N,239229729000,278300000000,39070271000,16.3317
2012,부산,부산사상구,N,208311821000,257900000000,49588179000,23.8048
2012,부산,부산사하구,N,257584071000,331700000000,74115929000,28.7735
2012,부산,부산서구,N,150302056000,188200000000,37897944000,25.2145
2012,부산,부산수영구,N,149069203000,172100000000,23030797000,15.4497
2012,부산,부산연제구,N,171377058000,227200000000,55822942000,32.5732
2012,부산,부산영도구,N,153256886000,182600000000,29343114000,19.1464
2012,부산,부산중구,N,95525731000,121700000000,26174269000,27.4002
2012,부산,부산해운대구,N,318614497000,380900000000,62285503000,19.5489
2012,서울,서울강남구,N,788575089000,843700000000,55124911000,6.9904
2012,서울,서울강동구,N,364446914000,398600000000,34153086000,9.3712
2012,서울,서울강북구,N,339444417000,377400000000,37955583000,11.1817
2012,서울,서울강서구,N,464726649000,540400000000,75673351000,16.2834
2012,서울,서울관악구,N,377421007000,412800000000,35378993000,9.3739
2012,서울,서울광진구,N,293668538000,352100000000,58431462000,19.8971
2012,서울,서울구로구,N,364380164000,422500000000,58119836000,15.9503
