회계연도,지역명,자치단체명,자치단체코드,본청여부,통합재정수지비율
2016,서울,서울본청,1100000,Y,1.43
2016,서울,서울종로구,1111000,N,6.09
2016,서울,서울중구,1112000,N,7.17
2016,서울,서울용산구,1113000,N,4.9
2016,서울,서울성동구,1114000,N,11.22
2016,서울,서울광진구,1115000,N,8.71
2016,서울,서울동대문구,1116000,N,6.93
2016,서울,서울중랑구,1117000,N,6.69
2016,서울,서울성북구,1118000,N,7.06
2016,서울,서울강북구,1119000,N,7.41
2016,서울,서울도봉구,1120000,N,8.44
2016,서울,서울노원구,1121000,N,6.6
2016,서울,서울은평구,1122000,N,10.35
2016,서울,서울서대문구,1123000,N,12.02
2016,서울,서울마포구,1124000,N,5.64
2016,서울,서울양천구,1125000,N,10.69
2016,서울,서울강서구,1126000,N,7.5
2016,서울,서울구로구,1127000,N,7.43
2016,서울,서울금천구,1128000,N,5.46
2016,서울,서울영등포구,1129000,N,7.68
2016,서울,서울동작구,1130000,N,10.31
2016,서울,서울관악구,1131000,N,6.79
2016,서울,서울서초구,1132000,N,10.17
2016,서울,서울강남구,1133000,N,14.91
2016,서울,서울송파구,1134000,N,6.17
2016,서울,서울강동구,1135000,N,6.83
2016,부산,부산본청,2600000,Y,-0.94
2016,부산,부산중구,2611000,N,9.98
2016,부산,부산서구,2612000,N,5.95
2016,부산,부산동구,2613000,N,0.3
2016,부산,부산영도구,2614000,N,7.59
2016,부산,부산부산진구,2615000,N,3.33
2016,부산,부산동래구,2616000,N,7.53
2016,부산,부산남구,2617000,N,8.07
2016,부산,부산북구,2618000,N,6.99
2016,부산,부산해운대구,2619000,N,7.14
2016,부산,부산사하구,2620000,N,4.45
2016,부산,부산금정구,2621000,N,6.33
2016,부산,부산강서구,2622000,N,2.56
2016,부산,부산연제구,2623000,N,9.17
2016,부산,부산수영구,2624000,N,10.37
2016,부산,부산사상구,2625000,N,0.37
2016,부산,부산기장군,2671000,N,1.01
2016,대구,대구본청,2700000,Y,1.63
2016,대구,대구중구,2711000,N,17.49
2016,대구,대구동구,2712000,N,7.78
2016,대구,대구서구,2713000,N,13.96
2016,대구,대구남구,2714000,N,10.71
2016,대구,대구북구,2715000,N,4.81
2016,대구,대구수성구,2716000,N,6.89
2016,대구,대구달서구,2717000,N,4.85
2016,대구,대구달성군,2771000,N,6.88
2016,인천,인천본청,2800000,Y,13.2
2016,인천,인천중구,2811000,N,3.39
2016,인천,인천동구,2812000,N,15.83
2016,인천,인천남구,2813000,N,8.27
2016,인천,인천연수구,2814000,N,15.97
2016,인천,인천남동구,2815000,N,7.4
2016,인천,인천부평구,2816000,N,9.87
2016,인천,인천계양구,2817000,N,16.44
2016,인천,인천서구,2818000,N,7.09
2016,인천,인천강화군,2871000,N,7.78
2016,인천,인천옹진군,2872000,N,4.15
2016,광주,광주본청,2900000,Y,2.09
2016,광주,광주동구,2911000,N,6.96
2016,광주,광주서구,2912000,N,6.06
2016,광주,광주남구,2913000,N,3.12
2016,광주,광주북구,2914000,N,3.08
