회계연도,지역명,자치단체명,자치단체코드,본청여부,전년도현재액,증감액총계,조성액,사용액,당해년도현재액
2014,서울,서울본청,1100000,Y,4446431691059,-485849495254,1018452665939,1504302161193,3960582195805
2014,서울,서울종로구,1111000,N,80805903651,3337997436,6244310596,2906313160,84143901087
2014,서울,서울중구,1112000,N,16855075912,1593271626,11725237988,10131966362,18448347538
2014,서울,서울용산구,1113000,N,16720658487,8359669679,14201981969,5842312290,25080328166
2014,서울,서울성동구,1114000,N,40761366670,-3412677695,14177383703,17590061398,37348688975
2014,서울,서울광진구,1115000,N,27632317301,6513234921,13450955051,6937720130,34145552222
2014,서울,서울동대문구,1116000,N,15733275182,-4184179298,12290731915,16474911213,11549095884
2014,서울,서울중랑구,1117000,N,12337330101,10483351678,15422121198,4938769520,22820681779
2014,서울,서울성북구,1118000,N,15034725924,-398169326,6202963504,6601132830,14636556598
2014,서울,서울강북구,1119000,N,28672334462,1356891080,6439824430,5082933350,30029225542
2014,서울,서울도봉구,1120000,N,14109088774,-366470283,4115192437,4481662720,13742618491
2014,서울,서울노원구,1121000,N,13098540850,884961104,12193934637,11308973533,13983501954
2014,서울,서울은평구,1122000,N,13371399051,7686882334,12359665814,4672783480,21058281385
2014,서울,서울서대문구,1123000,N,12309910842,541928428,3825162328,3283233900,12851839270
2014,서울,서울마포구,1124000,N,45139582558,3779578760,20506344698,16726765938,48919161318
2014,서울,서울양천구,1125000,N,16006538734,-17206159,6219992261,6237198420,15989332575
2014,서울,서울강서구,1126000,N,45853853010,34264837460,41891112530,7626275070,80118690470
2014,서울,서울구로구,1127000,N,39491660576,12007713444,36605798081,24598084637,51499374020
2014,서울,서울금천구,1128000,N,8746083600,2004543470,6266954750,4262411280,10750627070
2014,서울,서울영등포구,1129000,N,59436153194,-37864165778,10480079414,48344245192,21571987416
2014,서울,서울동작구,1130000,N,43347476907,-3124120644,6505123275,9629243919,40223356263
2014,서울,서울관악구,1131000,N,12144014126,3702776375,6901490735,3198714360,15846790501
2014,서울,서울서초구,1132000,N,178586338129,5084192292,16203390432,11119198140,183670530421
2014,서울,서울강남구,1133000,N,213847063611,11842096495,29918651705,18076555210,225689160106
2014,서울,서울송파구,1134000,N,21059470832,-4312166687,12926220724,17238387411,16747304145
2014,서울,서울강동구,1135000,N,22186927609,233109501,13931260058,13698150557,22420037110
2014,부산,부산본청,2600000,Y,715714127720,59872830186,618187157119,558314326933,775586957906
2014,부산,부산중구,2611000,N,2180803348,471337145,545695385,74358240,2652140493
2014,부산,부산서구,2612000,N,1935345197,20527600,251294840,230767240,1955872797
2014,부산,부산동구,2613000,N,4925570705,332538762,583823362,251284600,5258109467
2014,부산,부산영도구,2614000,N,4519889340,198436770,443910610,245473840,4718326110
2014,부산,부산부산진구,2615000,N,3807713010,171418090,1528389240,1356971150,3979131100
2014,부산,부산동래구,2616000,N,42110496560,-13958592360,2040127180,15998719540,28151904200
2014,부산,부산남구,2617000,N,2765837122,888490874,1184801594,296310720,3654327996
2014,부산,부산북구,2618000,N,4216906810,587164920,1189118920,601954000,4804071730
