회계연도,기금명,전년도현재액,증감액,조성액,사용액,당해현재액,일몰기간,원본단위
2021,남북교류협력기금,45532,323,2592,2269,45855,2025.12.31.,백만원
2021,사회복지기금(장애인복지사업),8914,-148,427,575,8766,2026.12.31.,백만원
2021,도시·주거환경정비기금,21731,-10078,688,10765,11653,법정의무기금,백만원
2021,주거복지기금,12468,-6434,1462,7896,6034,2027.06.12.,백만원
2021,지역개발기금,1598229,936577,1409613,473036,2534806,존속기한없음,백만원
2021,사회적경제기금,741,4504,4831,326,5245,2025.12.31.,백만원
2021,과학기술진흥기금,3775,-1338,1157,2495,2437,2026.06.30.,백만원
2021,중소기업육성기금(창업및경쟁력강화자금),256819,-51823,132651,184474,204996,2026.12.31.,백만원
2021,통합재정안정화기금(재정안정화계정),263163,1266483,1448257,181774,1529645,2025.06.30.,백만원
2021,말산업육성기금,56,230,2023,1793,286,2023.12.31.,백만원
2021,통합재정안정화기금(통합계정),0,708747,710598,1851,708747,2025.06.30.,백만원
2021,중소기업육성기금( 운 전 자 금 ),201970,-68649,92604,161253,133321,2026.12.31.,백만원
2021,개발이익도민환 원 기 금,0,35003,35003,0,35003,2026.06.30.※설치:2021.10.06.,백만원
2021,노동복지기금,7712,-1866,276,2142,5846,2026.12.31.,백만원
2021,체육진흥기금,39273,-6575,1916,8491,32698,2024.06.30.,백만원
2021,농업농촌진흥기금(농업발전계정),25080,8172,61693,53521,33252,2025.12.31.,백만원
2021,농업농촌진흥기금(농촌지도자육성계정),7588,-602,102,704,6986,2025.12.31.,백만원
2021,재해구호기금,50582,11276,69671,58395,61858,법정의무기금,백만원
2021,사회복지기금(자활지원사업),4779,-1338,128,1466,3442,법정의무기금,백만원
2021,사회복지기금(노인복지사업),9711,-874,122,996,8837,2026.12.31.,백만원
2021,식품진흥기금,28062,-968,6991,7959,27094,법정의무기금,백만원
2021,환경보전기금,20167,3478,8894,5416,23645,2024.12.31.,백만원
2021,성 평 등 기 금,13953,-615,467,1081,13338,2023.12.31.,백만원
2021,청소년육성기금,20113,-1344,328,1672,18768,2026.12.31.,백만원
2021,재난관리기금,188927,32258,159735,127477,221185,법정의무기금,백만원
2022,남북교류협력기금,45855,-1452,946,2398,44403,2025.12.31.,백만원
2022,사회복지기금(장애인복지사업),8766,-753,187,939,8014,2026.12.31.,백만원
2022,도시·주거환경정비기금,11653,-1488,7862,9350,10165,법정의무,백만원
2022,주거복지기금,6034,-2285,6615,8900,3749,2027.06.12.,백만원
2022,지역개발기금,2534806,-325921,1358403,1684324,2208885,존속기한없음,백만원
2022,사회적경제기금,5245,4463,5245,783,9708,2025.12.31.,백만원
2022,과학기술진흥기금,2437,660,3420,2760,3097,2026.06.30.,백만원
2022,중소기업육성기금(창업및경쟁력강화자금),204996,-81615,115482,197097,123381,2026.12.31.,백만원
2022,통합재정안정화기금(재정안정화계정),1529645,-747548,261474,1009022,782097,2025.06.30.,백만원
2022,말산업육성기금,286,161,2042,1881,447,2023.12.31.,백만원
2022,통합재정안정화기금(통합계정),708747,-74413,71406,145818,634335,2025.06.30.,백만원
2022,중소기업육성기금(운전자금),133321,-73439,99901,173339,59882,2026.12.31.,백만원
2022,개발이익도민환원기금,35003,32468,32468,0,67471,2026.06.30.,백만원
2022,기본금융기금,0,50233,50233,0,50233,,백만원
2022,노동복지기금,5846,209,3971,3762,6055,2026.12.31.,백만원
2022,체육진흥기금,32698,-8651,1552,10203,24047,2024.06.30.,백만원
2022,농업농촌진흥기금(농업발전계정),33252,-770,58998,59768,32482,2025.12.31.,백만원
2022,농업농촌진흥기금(농촌지도자육성계정),6986,-239,108,347,6747,2025.12.31.,백만원
2022,재해구호기금,61858,-19691,84500,104191,42167,법정의무,백만원
2022,사회복지기금,3442,-998,285,1283,2444,법정의무,백만원
2022,사회복지기금,8837,-889,270,1159,7948,2026.12.31.,백만원
2022,식품진흥기금,27094,-4950,7606,12556,22144,법정의무,백만원
2022,환경보전기금,23645,11996,15986,3991,35641,2024.12.31.,백만원
2022,성평등기금,13338,-773,399,1172,12565,2023.12.31.,백만원
2022,청소년육성기금,18768,-1494,189,1683,17275,2026.12.31.,백만원
2022,재난관리기금,221185,-17665,120911,138576,203520,법정의무,백만원
2023,남북교류협력기금,44400,-2100,1400,3500,42300,2025-12-31,억원
2023,장애인복지사업,8000,-1300,200,1500,6700,법정의무,억원
2023,도시·주거환경정비기금,10200,-7200,800,8000,3000,법정의무,억원
2023,주거복지기금,3700,1600,16800,15200,5400,2027-06-12,억원
2023,지역개발기금,2208900,192000,1263800,1071800,2400800,법정의무,억원
2023,사회적경제기금,9700,-2200,5600,7700,7600,2025-12-31,억원
2023,과학기술진흥기금,3100,100,1100,1000,3200,2026-06-30,억원
2023,창업및경쟁력강화자금,123400,64200,85600,21400,187600,2026-12-31,억원
2023,통합재정안정화기금(재정안정화계정),782100,-365100,182100,547200,417000,2025-06-30,억원
2023,말산업육성기금,400,200,2100,1900,700,2028-12-31,억원
2023,통합재정안정화기금(통합계정),634300,-78300,58900,137200,556000,2025-06-30,억원
2023,운전자금,59900,86700,135200,48500,146600,2026-12-31,억원
2023,개발이익도민환원기금,67500,25000,28000,3000,92500,2026-06-30,억원
2023,기본금융기금,50200,1400,1400,0,51700,2026-06-30,억원
2023,노동복지기금,6100,-2500,100,2600,3600,2026-12-31,억원
2023,고향사랑기금,0,100,100,0,100,법정의무,억원
2023,체육진흥기금,24000,-9300,1300,10600,14700,법정의무,억원
2023,농업발전계정,32500,-11100,55500,66600,21400,2025-12-31,억원
2023,농촌지도자육성계정,6700,-300,100,400,6500,2025-12-31,억원
2023,재해구호기금,42200,40300,62200,21900,82500,법정의무,억원
2023,자활지원사업,2400,-1100,100,1200,1300,2026-12-31,억원
2023,노인복지사업,7900,-1200,400,1600,6700,2026-12-31,억원
2023,식품진흥기금,22100,-6700,8400,15000,15500,법정의무,억원
2023,환경보전기금,35600,-15300,7900,23300,20300,2024-12-31,억원
2023,성평등기금,12600,-1100,400,1500,11500,2023-12-31,억원
2023,청소년육성기금,17300,-4500,600,5100,12700,2026-12-31,억원
2023,재난관리기금,203500,77500,127000,49500,281000,법정의무,억원
2024,남북교류협력기금,42300,-1800,1500,3300,40500,2025-12-31,억원
2024,장애인복지사업,6700,-600,400,1000,6200,2026-12-31,억원
2024,도시·주거환경정비기금,3000,-1100,7000,8100,1900,,억원
2024,주거복지기금,5400,-300,38600,38900,5100,2027-06-12,억원
2024,지역개발기금,2400800,538500,1032600,494100,2939300,,억원
2024,사회적경제기금,7600,200,3600,3400,7700,2025-12-31,억원
2024,과학기술진흥기금,3200,0,1000,1000,3200,2026-06-30,억원
2024,창업및경쟁력강화자금,187600,84200,100800,16600,271800,2026-12-31,억원
2024,통합재정안정화기금(재정안정화계정),417000,-211600,67600,279200,205400,2030-06-30,억원
2024,말산업육성기금,700,0,2000,2000,700,2028-12-31,억원
2024,통합재정안정화기금(통합계정),556000,-24700,97100,121800,531300,2030-06-30,억원
2024,운전자금,146600,115000,155900,40900,261600,2026-12-31,억원
2024,개발이익도민환원기금,92500,900,28100,27300,93400,2026-06-30,억원
2024,기본금융기금,51700,-3300,1800,5000,48400,2026-06-30,억원
2024,노동복지기금,3600,-2500,200,2700,1100,2026-12-31,억원
2024,고향사랑기금,100,100,100,0,200,,억원
2024,기후대응기금,0,4600,24800,20200,4600,2028-06-30,억원
2024,체육진흥기금,14700,-7400,1800,9100,7400,,억원
2024,농업농촌진흥기금(농업발전계정),21400,-600,65100,65700,20800,2025-12-31,억원
2024,농업농촌진흥기금(농촌지도자육성계정),6500,-200,200,400,6300,2025-12-31,억원
2024,재해구호기금,82500,4100,69700,65600,86500,,억원
2024,자활지원사업,1300,-400,300,800,900,2026-12-31,억원
2024,노인복지사업,6700,-1500,400,1900,5300,2026-12-31,억원
2024,식품진흥기금,15500,-2000,14300,16300,13500,,억원
2024,환경보전기금,20300,-200,7400,7600,20100,2029-12-31,억원
2024,청소년육성기금,12700,-4600,900,5400,8200,2026-12-31,억원
2024,재난관리기금,281000,-12900,140500,153400,268100,,억원
