회계연도,지역명,자치단체명,자치단체코드,본청여부,일반회계,기타특별회계,공기업특별회계,기금회계,지방채잔액합계
2000,서울,서울본청,1100000,Y,210200000000,1551600000000,104300000000,0,1866100000000
2000,부산,부산본청,2600000,Y,719300000000,1211200000000,518100000000,0,2448600000000
2000,대구,대구본청,2700000,Y,584600000000,812300000000,381400000000,0,1778300000000
2000,인천,인천본청,2800000,Y,207100000000,49900000000,420600000000,0,677600000000
2000,광주,광주본청,2900000,Y,493500000000,223800000000,219700000000,0,937000000000
2000,대전,대전본청,3000000,Y,300000000000,255600000000,254200000000,0,809800000000
2000,울산,울산본청,3100000,Y,214200000000,117600000000,126800000000,0,458600000000
2000,경기,경기본청,4100000,Y,1607900000000,244000000000,1133200000000,0,2985100000000
2000,강원,강원본청,4200000,Y,504300000000,101900000000,224300000000,0,830500000000
2000,충북,충북본청,4300000,Y,286000000000,52800000000,131100000000,0,469900000000
2000,충남,충남본청,4400000,Y,457400000000,134700000000,317300000000,0,909400000000
2000,전북,전북본청,4500000,Y,491100000000,129100000000,283700000000,0,903900000000
2000,전남,전남본청,4600000,Y,309700000000,229200000000,155100000000,0,694000000000
2000,경북,경북본청,4700000,Y,866400000000,137300000000,253600000000,0,1257300000000
2000,경남,경남본청,4800000,Y,462400000000,137500000000,535400000000,0,1135300000000
2000,제주,제주본청,4900000,Y,398600000000,138200000000,97300000000,0,634100000000
2001,서울,서울본청,1100000,Y,200300000000,1579900000000,117200000000,0,1897400000000
2001,부산,부산본청,2600000,Y,773800000000,1168100000000,532100000000,0,2474000000000
2001,대구,대구본청,2700000,Y,595100000000,942300000000,376100000000,0,1913500000000
2001,인천,인천본청,2800000,Y,273100000000,19500000000,421000000000,0,713600000000
2001,광주,광주본청,2900000,Y,482100000000,266300000000,199400000000,0,947800000000
2001,대전,대전본청,3000000,Y,285900000000,285000000000,243400000000,0,814300000000
2001,울산,울산본청,3100000,Y,259200000000,95600000000,159400000000,0,514200000000
2001,경기,경기본청,4100000,Y,1156000000000,192900000000,909900000000,0,2258800000000
2001,강원,강원본청,4200000,Y,425300000000,63400000000,223000000000,0,711700000000
2001,충북,충북본청,4300000,Y,233000000000,38800000000,118000000000,0,389800000000
2001,충남,충남본청,4400000,Y,417000000000,98600000000,324600000000,0,840200000000
2001,전북,전북본청,4500000,Y,483300000000,101200000000,268600000000,0,853100000000
2001,전남,전남본청,4600000,Y,279300000000,202200000000,143500000000,0,625000000000
2001,경북,경북본청,4700000,Y,813300000000,118300000000,281700000000,0,1213300000000
2001,경남,경남본청,4800000,Y,436300000000,99400000000,451600000000,0,987300000000
2001,제주,제주본청,4900000,Y,393000000000,127300000000,95300000000,0,615600000000
2002,서울,서울본청,1100000,Y,179200000000,1492800000000,114200000000,0,1786200000000
2002,부산,부산본청,2600000,Y,754500000000,1111100000000,533600000000,0,2399200000000
2002,대구,대구본청,2700000,Y,939800000000,1044000000000,345200000000,0,2329000000000
2002,인천,인천본청,2800000,Y,275700000000,15700000000,399300000000,0,690700000000
2002,광주,광주본청,2900000,Y,477100000000,270400000000,177300000000,0,924800000000
2002,대전,대전본청,3000000,Y,254600000000,300100000000,219100000000,0,773800000000
2002,울산,울산본청,3100000,Y,264900000000,86300000000,178300000000,0,529500000000
2002,경기,경기본청,4100000,Y,892800000000,131500000000,719400000000,0,1743700000000
2002,강원,강원본청,4200000,Y,433100000000,39800000000,223600000000,0,696500000000
2002,충북,충북본청,4300000,Y,198500000000,48400000000,107000000000,0,353900000000
2002,충남,충남본청,4400000,Y,368900000000,71300000000,284400000000,0,724600000000
2002,전북,전북본청,4500000,Y,475200000000,89600000000,245600000000,0,810400000000
2002,전남,전남본청,4600000,Y,327000000000,154400000000,181700000000,0,663100000000
2002,경북,경북본청,4700000,Y,676300000000,101900000000,354500000000,0,1132700000000
2002,경남,경남본청,4800000,Y,425900000000,74800000000,386800000000,0,887500000000
2002,제주,제주본청,4900000,Y,427000000000,124100000000,93600000000,0,644700000000
2003,서울,서울본청,1100000,Y,58100000000,1488500000000,109000000000,0,1655600000000
2003,부산,부산본청,2600000,Y,731300000000,931300000000,545300000000,0,2207900000000
2003,대구,대구본청,2700000,Y,902700000000,1126500000000,336400000000,0,2365600000000
2003,인천,인천본청,2800000,Y,305200000000,1800000000,332800000000,0,639800000000
2003,광주,광주본청,2900000,Y,492500000000,280100000000,155100000000,0,927700000000
2003,대전,대전본청,3000000,Y,239400000000,322200000000,207300000000,0,768900000000
2003,울산,울산본청,3100000,Y,257900000000,85800000000,180100000000,0,523800000000
2003,경기,경기본청,4100000,Y,986200000000,275000000000,521300000000,0,1782500000000
2003,강원,강원본청,4200000,Y,582700000000,36100000000,217300000000,0,836100000000
2003,충북,충북본청,4300000,Y,210100000000,24700000000,80400000000,0,315200000000
2003,충남,충남본청,4400000,Y,304600000000,114400000000,179000000000,0,598000000000
2003,전북,전북본청,4500000,Y,455400000000,66000000000,158000000000,0,679400000000
2003,전남,전남본청,4600000,Y,286600000000,137000000000,211400000000,0,635000000000
2003,경북,경북본청,4700000,Y,689000000000,84700000000,303000000000,0,1076700000000
2003,경남,경남본청,4800000,Y,518700000000,62900000000,239300000000,0,820900000000
2003,제주,제주본청,4900000,Y,458300000000,134700000000,100300000000,0,693300000000
2004,서울,서울본청,1100000,Y,46700000000,927700000000,103000000000,0,1077400000000
2004,부산,부산본청,2600000,Y,1029700000000,456200000000,548600000000,0,2034500000000
2004,대구,대구본청,2700000,Y,839200000000,1194400000000,318400000000,0,2352000000000
2004,인천,인천본청,2800000,Y,512100000000,3900000000,334500000000,0,850500000000
2004,광주,광주본청,2900000,Y,525400000000,291100000000,137200000000,0,953700000000
2004,대전,대전본청,3000000,Y,204200000000,327100000000,194000000000,0,725300000000
2004,울산,울산본청,3100000,Y,254700000000,67500000000,202300000000,0,524500000000
2004,경기,경기본청,4100000,Y,1444700000000,665600000000,506500000000,0,2616800000000
2004,강원,강원본청,4200000,Y,634100000000,42900000000,194700000000,0,871700000000
2004,충북,충북본청,4300000,Y,203500000000,27500000000,71700000000,0,302700000000
2004,충남,충남본청,4400000,Y,233800000000,143800000000,153200000000,0,530800000000
2004,전북,전북본청,4500000,Y,491800000000,58100000000,124800000000,0,674700000000
2004,전남,전남본청,4600000,Y,302700000000,191400000000,273100000000,0,767200000000
2004,경북,경북본청,4700000,Y,691500000000,55200000000,303800000000,0,1050500000000
2004,경남,경남본청,4800000,Y,668800000000,66200000000,192200000000,0,927200000000
2004,제주,제주본청,4900000,Y,471400000000,122300000000,93600000000,0,687300000000
2005,서울,서울본청,1100000,Y,34700000000,887900000000,89500000000,0,1012100000000
2005,부산,부산본청,2600000,Y,1136600000000,301800000000,487100000000,0,1925500000000
2005,대구,대구본청,2700000,Y,827900000000,1238700000000,286300000000,0,2352900000000
2005,인천,인천본청,2800000,Y,811400000000,31400000000,335900000000,0,1178700000000
2005,광주,광주본청,2900000,Y,536300000000,282400000000,91800000000,0,910500000000
2005,대전,대전본청,3000000,Y,234300000000,227000000000,170700000000,0,632000000000
2005,울산,울산본청,3100000,Y,316000000000,46300000000,211500000000,0,573800000000
2005,경기,경기본청,4100000,Y,1777400000000,791300000000,474700000000,0,3043400000000
2005,강원,강원본청,4200000,Y,710500000000,40600000000,181100000000,0,932200000000
2005,충북,충북본청,4300000,Y,245200000000,42300000000,52400000000,0,339900000000
2005,충남,충남본청,4400000,Y,190100000000,188000000000,234600000000,0,612700000000
2005,전북,전북본청,4500000,Y,542100000000,56900000000,108200000000,0,707200000000
2005,전남,전남본청,4600000,Y,292500000000,128800000000,180000000000,0,601300000000
2005,경북,경북본청,4700000,Y,649300000000,44100000000,313000000000,0,1006400000000
2005,경남,경남본청,4800000,Y,733500000000,64400000000,169000000000,0,966900000000
2005,제주,제주본청,4900000,Y,455900000000,105000000000,91600000000,0,652500000000
2006,서울,서울본청,1100000,Y,29700000000,862900000000,26300000000,0,918900000000
2006,부산,부산본청,2600000,Y,747200000000,864300000000,425700000000,0,2037200000000
2006,대구,대구본청,2700000,Y,785000000000,675600000000,273900000000,0,1734500000000
2006,인천,인천본청,2800000,Y,982100000000,49700000000,270200000000,0,1302000000000
2006,광주,광주본청,2900000,Y,596800000000,237100000000,79000000000,0,912900000000
2006,대전,대전본청,3000000,Y,246900000000,187000000000,145800000000,0,579700000000
2006,울산,울산본청,3100000,Y,370700000000,26300000000,196700000000,0,593700000000
2006,경기,경기본청,4100000,Y,1896000000000,632800000000,649800000000,0,3178600000000
2006,강원,강원본청,4200000,Y,739900000000,60700000000,174100000000,0,974700000000
2006,충북,충북본청,4300000,Y,269300000000,45300000000,40000000000,0,354600000000
2006,충남,충남본청,4400000,Y,166900000000,126300000000,258900000000,0,552100000000
2006,전북,전북본청,4500000,Y,596900000000,53200000000,97300000000,0,747400000000
2006,전남,전남본청,4600000,Y,324600000000,195200000000,130800000000,0,650600000000
2006,경북,경북본청,4700000,Y,718500000000,37100000000,308300000000,0,1063900000000
2006,경남,경남본청,4800000,Y,931900000000,61000000000,194900000000,0,1187800000000
2006,제주,제주본청,4900000,Y,389500000000,170800000000,86200000000,0,646500000000
2007,서울,서울본청,1100000,Y,315500000000,877500000000,172100000000,0,1365100000000
2007,부산,부산본청,2600000,Y,950500000000,968800000000,387000000000,0,2306300000000
2007,대구,대구본청,2700000,Y,791800000000,777400000000,253100000000,0,1822300000000
2007,인천,인천본청,2800000,Y,1116500000000,62100000000,279500000000,0,1458100000000
2007,광주,광주본청,2900000,Y,599900000000,214200000000,63000000000,0,877100000000
2007,대전,대전본청,3000000,Y,270000000000,143000000000,118600000000,0,531600000000
2007,울산,울산본청,3100000,Y,372300000000,11000000000,176900000000,0,560200000000
2007,경기,경기본청,4100000,Y,2302900000000,257000000000,495300000000,0,3055200000000
2007,강원,강원본청,4200000,Y,776900000000,57500000000,168700000000,0,1003100000000
2007,충북,충북본청,4300000,Y,310300000000,55200000000,35100000000,0,400600000000
2007,충남,충남본청,4400000,Y,199400000000,82100000000,300200000000,0,581700000000
2007,전북,전북본청,4500000,Y,658100000000,43500000000,96600000000,0,798200000000
2007,전남,전남본청,4600000,Y,332700000000,188900000000,127700000000,0,649300000000
2007,경북,경북본청,4700000,Y,730100000000,30600000000,274400000000,0,1035100000000
2007,경남,경남본청,4800000,Y,952800000000,71100000000,210000000000,0,1233900000000
2007,제주,제주본청,4900000,Y,413700000000,24000000000,92100000000,0,529800000000
2008,서울,서울본청,1100000,Y,14200000000,1519700000000,20500000000,0,1554400000000
2008,부산,부산본청,2600000,Y,1089300000000,993000000000,345000000000,0,2427300000000
2008,대구,대구본청,2700000,Y,826400000000,735900000000,233700000000,0,1796000000000
2008,인천,인천본청,2800000,Y,1208400000000,68800000000,350700000000,0,1627900000000
2008,광주,광주본청,2900000,Y,631500000000,140900000000,51200000000,0,823600000000
2008,대전,대전본청,3000000,Y,316600000000,84000000000,96900000000,0,497500000000
2008,울산,울산본청,3100000,Y,392300000000,15000000000,160000000000,0,567300000000
2008,경기,경기본청,4100000,Y,2532900000000,220800000000,423600000000,0,3177300000000
2008,강원,강원본청,4200000,Y,768400000000,48200000000,150500000000,0,967100000000
2008,충북,충북본청,4300000,Y,356500000000,50700000000,38600000000,0,445800000000
2008,충남,충남본청,4400000,Y,298200000000,145100000000,372100000000,0,815400000000
2008,전북,전북본청,4500000,Y,684300000000,56300000000,78800000000,0,819400000000
2008,전남,전남본청,4600000,Y,457500000000,161900000000,103400000000,0,722800000000
2008,경북,경북본청,4700000,Y,684500000000,31000000000,274500000000,0,990000000000
2008,경남,경남본청,4800000,Y,1060300000000,59100000000,149800000000,0,1269200000000
2008,제주,제주본청,4900000,Y,431600000000,33800000000,82200000000,0,547600000000
2009,서울,서울본청,1100000,Y,1076800000000,2001800000000,17700000000,0,3096300000000
2009,부산,부산본청,2600000,Y,1343100000000,1055300000000,323300000000,0,2721700000000
2009,대구,대구본청,2700000,Y,1089000000000,764200000000,199900000000,0,2053100000000
2009,인천,인천본청,2800000,Y,1767300000000,339300000000,370800000000,0,2477400000000
2009,광주,광주본청,2900000,Y,719200000000,50300000000,40300000000,0,809800000000
2009,대전,대전본청,3000000,Y,509900000000,0,95800000000,0,605700000000
2009,울산,울산본청,3100000,Y,437700000000,46200000000,136200000000,0,620100000000
2009,경기,경기본청,4100000,Y,3229500000000,280100000000,382100000000,0,3891700000000
2009,강원,강원본청,4200000,Y,1132900000000,46600000000,133200000000,0,1312700000000
2009,충북,충북본청,4300000,Y,573900000000,57100000000,40900000000,0,671900000000
2009,충남,충남본청,4400000,Y,706700000000,229200000000,328500000000,0,1264400000000
2009,전북,전북본청,4500000,Y,834500000000,56100000000,126900000000,0,1017500000000
2009,전남,전남본청,4600000,Y,940800000000,174100000000,111300000000,0,1226200000000
2009,경북,경북본청,4700000,Y,1090800000000,62400000000,252200000000,0,1405400000000
2009,경남,경남본청,4800000,Y,1433900000000,80500000000,121600000000,0,1636000000000
2009,제주,제주본청,4900000,Y,626400000000,35000000000,81800000000,0,743200000000
2010,서울,서울본청,1100000,Y,1214300000000,2254700000000,314100000000,0,3783100000000
2010,부산,부산본청,2600000,Y,1268600000000,1112700000000,520000000000,14500000000,2915800000000
2010,대구,대구본청,2700000,Y,1123900000000,717400000000,246200000000,0,2087500000000
2010,인천,인천본청,2800000,Y,1435200000000,624800000000,766100000000,0,2826100000000
2010,광주,광주본청,2900000,Y,388000000000,25600000000,354000000000,0,767600000000
2010,대전,대전본청,3000000,Y,294200000000,0,343600000000,11200000000,649000000000
2010,울산,울산본청,3100000,Y,171300000000,26800000000,398500000000,5600000000,602200000000
2010,경기,경기본청,4100000,Y,1993000000000,253400000000,2320200000000,4600000000,4571200000000
2010,강원,강원본청,4200000,Y,802900000000,47300000000,418900000000,1900000000,1271000000000
2010,충북,충북본청,4300000,Y,381800000000,57200000000,300600000000,27100000000,766700000000
2010,충남,충남본청,4400000,Y,580500000000,290700000000,424700000000,4100000000,1300000000000
2010,전북,전북본청,4500000,Y,602800000000,55300000000,458200000000,6200000000,1122500000000
2010,전남,전남본청,4600000,Y,741000000000,169900000000,482100000000,11800000000,1404800000000
2010,경북,경북본청,4700000,Y,924200000000,71400000000,560500000000,0,1556100000000
2010,경남,경남본청,4800000,Y,1102900000000,68900000000,1006600000000,0,2178400000000
2010,제주,제주본청,4900000,Y,495000000000,29300000000,222200000000,600000000,747100000000
2011,서울,서울본청,1100000,Y,681900000000,2159000000000,311400000000,0,3152300000000
2011,부산,부산본청,2600000,Y,1265100000000,1044400000000,484700000000,8400000000,2802600000000
2011,대구,대구본청,2700000,Y,1117500000000,693200000000,223300000000,0,2034000000000
2011,인천,인천본청,2800000,Y,1387600000000,704400000000,744100000000,0,2836100000000
2011,광주,광주본청,2900000,Y,376800000000,500000000,376000000000,0,753300000000
2011,대전,대전본청,3000000,Y,330900000000,0,356300000000,2800000000,690000000000
2011,울산,울산본청,3100000,Y,137200000000,26800000000,421000000000,3200000000,588200000000
2011,경기,경기본청,4100000,Y,1882200000000,266500000000,2322300000000,3900000000,4474900000000
2011,강원,강원본청,4200000,Y,793800000000,53900000000,400800000000,0,1248500000000
2011,충북,충북본청,4300000,Y,354400000000,51700000000,344400000000,11500000000,762000000000
2011,충남,충남본청,4400000,Y,520100000000,325900000000,454900000000,3200000000,1304100000000
2011,전북,전북본청,4500000,Y,625500000000,27900000000,419100000000,0,1072500000000
2011,전남,전남본청,4600000,Y,826700000000,163500000000,538300000000,12300000000,1540800000000
2011,경북,경북본청,4700000,Y,921100000000,59500000000,571600000000,0,1552200000000
2011,경남,경남본청,4800000,Y,1997000000000,82100000000,66900000000,0,2146000000000
2011,제주,제주본청,4900000,Y,506500000000,18300000000,232500000000,400000000,757700000000
2012,서울,서울본청,1100000,Y,315500000000,2325300000000,308700000000,0,2949500000000
2012,부산,부산본청,2600000,Y,1342300000000,978700000000,439300000000,4500000000,2764800000000
2012,대구,대구본청,2700000,Y,1207200000000,558000000000,213000000000,0,1978200000000
2012,인천,인천본청,2800000,Y,1328100000000,842200000000,717900000000,0,2888200000000
2012,광주,광주본청,2900000,Y,354200000000,200000000,396800000000,0,751200000000
2012,대전,대전본청,3000000,Y,327700000000,0,365200000000,2200000000,695100000000
2012,울산,울산본청,3100000,Y,91800000000,11400000000,434300000000,2600000000,540100000000
2012,경기,경기본청,4100000,Y,2280700000000,273600000000,1783600000000,3300000000,4341200000000
2012,강원,강원본청,4200000,Y,751300000000,42100000000,376000000000,0,1169400000000
2012,충북,충북본청,4300000,Y,292500000000,31600000000,376300000000,0,700400000000
2012,충남,충남본청,4400000,Y,423900000000,340500000000,352700000000,2200000000,1119300000000
2012,전북,전북본청,4500000,Y,605100000000,32200000000,405700000000,0,1043000000000
2012,전남,전남본청,4600000,Y,703900000000,137900000000,572600000000,9800000000,1424200000000
2012,경북,경북본청,4700000,Y,872500000000,59800000000,596000000000,0,1528300000000
2012,경남,경남본청,4800000,Y,841900000000,83100000000,1056400000000,5000000000,1986400000000
2012,제주,제주본청,4900000,Y,465300000000,26600000000,260500000000,300000000,752700000000
2013,서울,서울본청,1100000,Y,513000000000,4612100000000,157100000000,0,5282200000000
2013,부산,부산본청,2600000,Y,1407900000000,1103400000000,263700000000,3100000000,2778100000000
2013,대구,대구본청,2700000,Y,1193000000000,584500000000,182200000000,0,1959700000000
2013,인천,인천본청,2800000,Y,1242300000000,1233300000000,800800000000,0,3276400000000
2013,광주,광주본청,2900000,Y,373000000000,0,429600000000,0,802600000000
2013,대전,대전본청,3000000,Y,297000000000,0,400400000000,1600000000,699000000000
2013,울산,울산본청,3100000,Y,74300000000,0,453300000000,1900000000,529500000000
2013,세종,세종본청,3200000,Y,100000000,0,124400000000,0,124500000000
2013,경기,경기본청,4100000,Y,1872900000000,158400000000,1923300000000,2600000000,3957200000000
2013,강원,강원본청,4200000,Y,691200000000,46400000000,385000000000,0,1122600000000
2013,충북,충북본청,4300000,Y,230100000000,30400000000,407100000000,0,667600000000
2013,충남,충남본청,4400000,Y,290300000000,332000000000,375300000000,1300000000,998900000000
2013,전북,전북본청,4500000,Y,552100000000,49800000000,427400000000,0,1029300000000
2013,전남,전남본청,4600000,Y,502000000000,107400000000,654600000000,7200000000,1271200000000
2013,경북,경북본청,4700000,Y,695900000000,71100000000,571800000000,0,1338800000000
2013,경남,경남본청,4800000,Y,679500000000,67100000000,1014100000000,5000000000,1765700000000
2013,제주,제주본청,4900000,Y,378900000000,22300000000,291300000000,200000000,692700000000
2014,서울,서울본청,1100000,Y,761700000000,4310700000000,154400000000,0,5226800000000
2014,부산,부산본청,2600000,Y,1553200000000,942600000000,376100000000,1800000000,2873700000000
2014,대구,대구본청,2700000,Y,1127000000000,592700000000,178200000000,0,1897900000000
2014,인천,인천본청,2800000,Y,1158100000000,1223500000000,944800000000,0,3326400000000
2014,광주,광주본청,2900000,Y,464000000000,0,456600000000,0,920600000000
2014,대전,대전본청,3000000,Y,279800000000,0,416000000000,1100000000,696900000000
2014,울산,울산본청,3100000,Y,48700000000,0,472900000000,1400000000,523000000000
2014,세종,세종본청,3200000,Y,0,0,122000000000,0,122000000000
