시도명,회계연도,기금명,전년도현재액,증감액,조성액,사용액,당해현재액,일몰기간,원본단위,통합재정안정화기금여부
강원,2021,통합재정안정화기금(통합계정),0,81450,81450,0,81450,’21.1.~’25.12.,백만원,Y
강원,2021,지역개발기금,172569,-26040,484504,510544,146529,-,백만원,N
강원,2021,재난관리기금,5597,13626,28740,15114,19223,-,백만원,N
강원,2021,재해구호기금,7789,1761,17587,15826,9550,-,백만원,N
강원,2021,남북교류협력기금,18313,-289,241,530,18024,’20.5.~’25.12.,백만원,N
강원,2021,자활기금,2996,57,260,203,3053,’21.12.~’26.12.,백만원,N
강원,2021,양성평등기금,10303,-16,165,181,10287,’19.5.~’24.4.,백만원,N
강원,2021,청소년육성기금,4048,-124,44,168,3924,’20.7.~’25.12.,백만원,N
강원,2021,식품진흥기금,6455,-309,493,802,6146,-,백만원,N
강원,2021,농어촌진흥기금,28269,4033,33813,29780,32302,’18.4.~’22.12.,백만원,N
강원,2021,중소기업육성기금,136920,-53576,22827,76403,83344,’21.12.~’26.12.,백만원,N
강원,2021,폐광지역개발기금,200919,-104546,23566,128113,96372,-,백만원,N
강원,2021,비축무연탄관리기금,92785,-5200,2088,7288,87585,’19.7.~’25.12.,백만원,N
강원,2022,통합재정안정화기금(통합계정),81450,59641,59955,315,141090,’21.1.~’25.12.,백만원,Y
강원,2022,남북교류협력기금,18024,-128,242,370,17896,’20.5.~’25.12.,백만원,N
강원,2022,청소년육성기금,3924,48,153,105,3973,’20.7.~’25.12.,백만원,N
강원,2022,양성평등기금,10287,-78,122,200,10209,’19.5.~’24.4.,백만원,N
강원,2022,식품진흥기금,6146,-140,438,578,6006,-,백만원,N
강원,2022,폐광지역개발기금,96372,364,119195,118831,96736,-,백만원,N
강원,2022,비축무연탄관리기금,87585,-8087,1424,9511,79498,’19.7.~’25.12.,백만원,N
강원,2022,재난관리기금,19223,14383,20746,6363,33607,-,백만원,N
강원,2022,농어촌진흥기금,32302,10621,37495,26874,42923,’22.12.~’27.12.,백만원,N
