회계연도,지역명,자치단체명,본청여부,당초예산,세입결산,오차액,오차율
2012,강원,강원강릉시,N,628698548000,775993106397,147294558397,23.4285
2012,강원,강원고성군,N,241141322000,307746474640,66605152640,27.6208
2012,강원,강원동해시,N,285037104000,318533674191,33496570191,11.7517
2012,강원,강원본청,Y,3923348357000,4409640696353,486292339353,12.3948
2012,강원,강원삼척시,N,390784816000,495597525365,104812709365,26.8211
2012,강원,강원속초시,N,279116278000,331630462764,52514184764,18.8144
2012,강원,강원양구군,N,230845934000,308511587826,77665653826,33.6439
2012,강원,강원양양군,N,206160126000,253867166291,47707040291,23.1408
2012,강원,강원영월군,N,265991662000,395319686242,129328024242,48.6211
2012,강원,강원원주시,N,771620825000,1005035292197,233414467197,30.2499
2012,강원,강원인제군,N,268847496000,362537889899,93690393899,34.8489
2012,강원,강원정선군,N,317076926000,406972715338,89895789338,28.3514
2012,강원,강원철원군,N,251921197000,314939926460,63018729460,25.0153
2012,강원,강원춘천시,N,1070500310000,1232270823541,161770513541,15.1117
2012,강원,강원태백시,N,252305699000,345025272736,92719573736,36.7489
2012,강원,강원평창군,N,250866901000,368173239958,117306338958,46.7604
2012,강원,강원홍천군,N,344063847000,507037586300,162973739300,47.3673
2012,강원,강원화천군,N,231102270000,343675119822,112572849822,48.7113
2012,강원,강원횡성군,N,267769100000,410153265221,142384165221,53.1742
2012,경기,경기가평군,N,325839437000,466470674212,140631237212,43.1597
2012,경기,경기고양시,N,1305886117000,1788272891013,482386774013,36.9394
2012,경기,경기과천시,N,335342224000,435123488208,99781264208,29.7551
2012,경기,경기광명시,N,510235391000,665722635799,155487244799,30.4736
2012,경기,경기광주시,N,641880742000,803645750770,161765008770,25.2017
2012,경기,경기구리시,N,357965168000,487647513941,129682345941,36.2276
2012,경기,경기군포시,N,393682721000,551168278098,157485557098,40.0032
2012,경기,경기김포시,N,632807794000,808952045726,176144251726,27.8353
2012,경기,경기남양주시,N,887388333000,1198517494296,311129161296,35.0612
2012,경기,경기동두천시,N,287971512000,409986508140,122014996140,42.3705
2012,경기,경기본청,Y,16459873256000,18048039053247,1588165797247,9.6487
2012,경기,경기부천시,N,1282060007000,1583324176631,301264169631,23.4984
2012,경기,경기성남시,N,2126893843000,2453162190480,326268347480,15.3401
2012,경기,경기수원시,N,1777887699000,2159370671245,381482972245,21.4571
2012,경기,경기시흥시,N,1275936240000,1125789259498,-150146980502,-11.7676
2012,경기,경기안산시,N,1541696042000,1867407634058,325711592058,21.1268
2012,경기,경기안성시,N,499233864000,675397510647,176163646647,35.2868
2012,경기,경기안양시,N,850118616000,1143892074754,293773458754,34.5568
2012,경기,경기양주시,N,481050858000,668417738960,187366880960,38.9495
2012,경기,경기양평군,N,371378163000,497180016826,125801853826,33.8743
2012,경기,경기여주군,N,465092095000,624793631756,159701536756,34.3376
2012,경기,경기연천군,N,323481286000,484030778751,160549492751,49.6318
2012,경기,경기오산시,N,345911285000,452725505811,106814220811,30.8791
2012,경기,경기용인시,N,1743685208000,2932833502522,1189148294522,68.1974
2012,경기,경기의왕시,N,249885721000,369416268537,119530547537,47.8341
2012,경기,경기의정부시,N,688146787000,886041005068,197894218068,28.7576
2012,경기,경기이천시,N,545623907000,767020381004,221396474004,40.5768
2012,경기,경기파주시,N,792078613000,1002196663655,210118050655,26.5274
2012,경기,경기평택시,N,992362966000,1424735657019,432372691019,43.57
2012,경기,경기포천시,N,507672212000,663921885441,156249673441,30.7777
2012,경기,경기하남시,N,464825995000,659856586224,195030591224,41.9578
2012,경기,경기화성시,N,997173343000,1396586800479,399413457479,40.0546
2012,경남,경남거제시,N,538009650000,718547914223,180538264223,33.5567
2012,경남,경남거창군,N,405877917000,582328751447,176450834447,43.4739
2012,경남,경남고성군,N,325032333000,426352662986,101320329986,31.1724
2012,경남,경남김해시,N,1009225776000,1167872459690,158646683690,15.7196
2012,경남,경남남해군,N,299019161000,435666666850,136647505850,45.6986
2012,경남,경남밀양시,N,483795021000,653004785929,169209764929,34.9755
2012,경남,경남본청,Y,6463199819000,7437223636876,974023817876,15.0703
2012,경남,경남사천시,N,448300894000,535599575308,87298681308,19.4732
2012,경남,경남산청군,N,326118063000,440281502507,114163439507,35.0068
2012,경남,경남양산시,N,696911722000,778792796439,81881074439,11.7491
2012,경남,경남의령군,N,322922388000,413489188345,90566800345,28.046
2012,경남,경남진주시,N,912978493000,1136332640614,223354147614,24.4643
