회계연도,시도명,계층,세목명,금액,비중
2013,강원,군,과년도수입,4597760000,0.22
2013,강원,군,담배소비세,38243771000,1.83
2013,강원,군,도시계획세(재산세),335000,0
2013,강원,군,도축세,0,0
2013,강원,군,자동차세,48758486000,2.33
2013,강원,군,재산세,48957075000,2.34
2013,강원,군,주민세,3095227000,0.15
2013,강원,군,지방소득세,43886806000,2.09
2013,강원,군,지역자원시설세,0,0
2013,강원,시,과년도수입,10569421000,0.08
2013,강원,시,담배소비세,66578062000,0.53
2013,강원,시,도시계획세(재산세),12948000,0
2013,강원,시,도축세,0,0
2013,강원,시,자동차세,146544249000,1.17
2013,강원,시,재산세,118765193000,0.94
2013,강원,시,주민세,6468684000,0.05
2013,강원,시,지방소득세,105496247000,0.84
2013,강원,시,지역자원시설세,0,0
2013,강원,시도,과년도수입,19141863000,0.05
2013,강원,시도,담배소비세,0,0
2013,강원,시도,등록면허세,27041469000,0.07
2013,강원,시도,레저세,0,0
2013,강원,시도,자동차세,0,0
2013,강원,시도,지방교육세,130189120000,0.33
2013,강원,시도,지역자원시설세,25827965000,0.07
2013,강원,시도,취득세,345885867000,0.88
2013,경기,군,과년도수입,4045852000,0.19
2013,경기,군,담배소비세,16220614000,0.77
2013,경기,군,도시계획세(재산세),4420000,0
2013,경기,군,도축세,0,0
2013,경기,군,자동차세,50074129000,2.39
2013,경기,군,재산세,42215786000,2.01
2013,경기,군,주민세,1317320000,0.06
2013,경기,군,지방소득세,18699508000,0.89
2013,경기,군,지역자원시설세,0,0
2013,경기,시,과년도수입,137862308000,1.1
2013,경기,시,담배소비세,623350065000,4.96
2013,경기,시,도시계획세(재산세),529510000,0
2013,경기,시,도축세,0,0
2013,경기,시,자동차세,1485347671000,11.82
2013,경기,시,재산세,2221135670000,17.67
2013,경기,시,주민세,77948116000,0.62
2013,경기,시,지방소득세,2113468115000,16.81
2013,경기,시,지역자원시설세,0,0
2013,경기,시도,과년도수입,-4726310000,-0.01
2013,경기,시도,담배소비세,0,0
2013,경기,시도,등록면허세,346222927000,0.88
2013,경기,시도,레저세,533821925000,1.36
2013,경기,시도,자동차세,0,0
2013,경기,시도,지방교육세,1400679783000,3.58
2013,경기,시도,지역자원시설세,215808080000,0.55
2013,경기,시도,취득세,3575260586000,9.15
2013,경남,군,과년도수입,2527213000,0.12
2013,경남,군,담배소비세,29394240000,1.4
2013,경남,군,도시계획세(재산세),3293000,0
2013,경남,군,도축세,0,0
2013,경남,군,자동차세,76467053000,3.65
2013,경남,군,재산세,39606948000,1.89
2013,경남,군,주민세,4547936000,0.22
2013,경남,군,지방소득세,47351174000,2.26
2013,경남,군,지역자원시설세,0,0
2013,경남,시,과년도수입,19117524000,0.15
2013,경남,시,담배소비세,165815708000,1.32
2013,경남,시,도시계획세(재산세),252351000,0
2013,경남,시,도축세,0,0
2013,경남,시,자동차세,451266796000,3.59
2013,경남,시,재산세,346060603000,2.75
2013,경남,시,주민세,22881935000,0.18
2013,경남,시,지방소득세,493584432000,3.93
2013,경남,시,지역자원시설세,17272243000,0.14
2013,경남,시도,과년도수입,2082558000,0
2013,경남,시도,담배소비세,0,0
2013,경남,시도,등록면허세,86518539000,0.22
2013,경남,시도,레저세,100636483000,0.26
2013,경남,시도,자동차세,0,0
2013,경남,시도,지방교육세,344950711000,0.89
2013,경남,시도,지역자원시설세,35895463000,0.09
2013,경남,시도,취득세,994370913000,2.54
2013,경북,군,과년도수입,4278216000,0.2
2013,경북,군,담배소비세,35233189000,1.68
2013,경북,군,도시계획세(재산세),4243000,0
2013,경북,군,도축세,0,0
2013,경북,군,자동차세,79136161000,3.78
2013,경북,군,재산세,43845939000,2.09
2013,경북,군,주민세,4064599000,0.19
2013,경북,군,지방소득세,50519061000,2.41
2013,경북,군,지역자원시설세,0,0
2013,경북,시,과년도수입,10002223000,0.08
2013,경북,시,담배소비세,128667265000,1.02
2013,경북,시,도시계획세(재산세),42405000,0
2013,경북,시,도축세,0,0
2013,경북,시,자동차세,314986440000,2.51
2013,경북,시,재산세,222720326000,1.77
